Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_321_1427,VGND,li1,662.1700,886.7200,0.000048
FILLER_0_321_1420,VGND,li1,659.6400,886.7200,0.000045
FILLER_0_321_1414,VGND,li1,656.6500,886.7200,0.000043
FILLER_0_321_1406,VGND,li1,653.2000,886.7200,0.000041
FILLER_0_321_1401,VGND,li1,650.4400,886.7200,0.000038
FILLER_0_321_1399,VGND,li1,649.2900,886.7200,0.000036
FILLER_0_321_1392,VGND,li1,646.7600,886.7200,0.000032
FILLER_0_321_1373,VGND,li1,637.5600,886.7200,0.000030
FILLER_0_321_1371,VGND,li1,636.4100,886.7200,0.000030
FILLER_0_321_1364,VGND,li1,633.8800,886.7200,0.000033
FILLER_0_321_1357,VGND,li1,630.6600,886.7200,0.000037
FILLER_0_321_1351,VGND,li1,627.6700,886.7200,0.000041
FILLER_0_321_1329,VGND,li1,617.7800,886.7200,0.000053
FILLER_0_321_1323,VGND,li1,614.7900,886.7200,0.000057
FILLER_0_321_1301,VGND,li1,604.9000,886.7200,0.000069
FILLER_0_321_1297,VGND,li1,602.3700,886.7200,0.000072
FILLER_0_321_1289,VGND,li1,598.9200,886.7200,0.000074
FILLER_0_321_1287,VGND,li1,597.7700,886.7200,0.000074
FILLER_0_321_1280,VGND,li1,595.2400,886.7200,0.000077
FILLER_0_321_1273,VGND,li1,592.0200,886.7200,0.000079
FILLER_0_321_1266,VGND,li1,588.8000,886.7200,0.000082
FILLER_0_321_1261,VGND,li1,586.0400,886.7200,0.000084
FILLER_0_321_1252,VGND,li1,582.3600,886.7200,0.000086
FILLER_0_321_1246,VGND,li1,579.3700,886.7200,0.000087
FILLER_0_321_1239,VGND,li1,576.1500,886.7200,0.000089
FILLER_0_321_1233,VGND,li1,573.1600,886.7200,0.000090
FILLER_0_321_1231,VGND,li1,572.0100,886.7200,0.000091
FILLER_0_321_1225,VGND,li1,569.7100,886.7200,0.000091
FILLER_0_321_1220,VGND,li1,566.9500,886.7200,0.000092
FILLER_0_321_1205,VGND,li1,560.2800,886.7200,0.000092
FILLER_0_321_1203,VGND,li1,559.1300,886.7200,0.000092
FILLER_0_321_1196,VGND,li1,556.6000,886.7200,0.000092
FILLER_0_321_1189,VGND,li1,553.3800,886.7200,0.000091
FILLER_0_321_1183,VGND,li1,550.3900,886.7200,0.000091
FILLER_0_321_1177,VGND,li1,547.4000,886.7200,0.000091
FILLER_0_321_1175,VGND,li1,546.2500,886.7200,0.000090
FILLER_0_321_1169,VGND,li1,543.4900,886.7200,0.000090
FILLER_0_321_1162,VGND,li1,540.7300,886.7200,0.000089
FILLER_0_321_1124,VGND,li1,522.7900,886.7200,0.000077
FILLER_0_321_1119,VGND,li1,520.4900,886.7200,0.000076
FILLER_0_321_1105,VGND,li1,514.2800,886.7200,0.000070
FILLER_0_321_1090,VGND,li1,507.3800,886.7200,0.000064
FILLER_0_321_1070,VGND,li1,498.6400,886.7200,0.000055
FILLER_0_321_1063,VGND,li1,494.7300,886.7200,0.000049
FILLER_0_321_1042,VGND,li1,485.0700,886.7200,0.000037
FILLER_0_321_1037,VGND,li1,483.0000,886.7200,0.000041
FILLER_0_321_1035,VGND,li1,481.8500,886.7200,0.000045
FILLER_0_321_1031,VGND,li1,480.0100,886.7200,0.000050
FILLER_0_321_1001,VGND,li1,466.2100,886.7200,0.000070
FILLER_0_321_997,VGND,li1,465.0600,886.7200,0.000074
FILLER_0_321_981,VGND,li1,457.2400,886.7200,0.000083
FILLER_0_321_979,VGND,li1,456.0900,886.7200,0.000083
FILLER_0_321_961,VGND,li1,447.8100,886.7200,0.000092
FILLER_0_321_953,VGND,li1,444.3600,886.7200,0.000095
FILLER_0_321_951,VGND,li1,443.2100,886.7200,0.000095
FILLER_0_321_946,VGND,li1,441.1400,886.7200,0.000097
FILLER_0_321_923,VGND,li1,430.3300,886.7200,0.000102
FILLER_0_321_919,VGND,li1,429.1800,886.7200,0.000103
FILLER_0_321_911,VGND,li1,425.0400,886.7200,0.000104
FILLER_0_321_897,VGND,li1,418.3700,886.7200,0.000106
FILLER_0_321_888,VGND,li1,414.4600,886.7200,0.000107
FILLER_0_321_881,VGND,li1,411.7000,886.7200,0.000107
FILLER_0_321_877,VGND,li1,409.1700,886.7200,0.000107
FILLER_0_321_869,VGND,li1,405.7200,886.7200,0.000107
FILLER_0_321_860,VGND,li1,402.0400,886.7200,0.000106
FILLER_0_321_853,VGND,li1,398.8200,886.7200,0.000105
FILLER_0_321_846,VGND,li1,395.6000,886.7200,0.000104
FILLER_0_321_841,VGND,li1,392.8400,886.7200,0.000103
FILLER_0_321_825,VGND,li1,385.2500,886.7200,0.000099
FILLER_0_321_821,VGND,li1,383.4100,886.7200,0.000098
FILLER_0_321_813,VGND,li1,379.9600,886.7200,0.000096
FILLER_0_321_811,VGND,li1,378.8100,886.7200,0.000094
FILLER_0_321_807,VGND,li1,376.9700,886.7200,0.000093
FILLER_0_321_762,VGND,li1,356.5000,886.7200,0.000073
FILLER_0_321_757,VGND,li1,354.2000,886.7200,0.000070
FILLER_0_321_755,VGND,li1,353.0500,886.7200,0.000070
FILLER_0_321_748,VGND,li1,350.5200,886.7200,0.000067
FILLER_0_321_741,VGND,li1,347.3000,886.7200,0.000062
FILLER_0_321_734,VGND,li1,344.0800,886.7200,0.000058
FILLER_0_321_729,VGND,li1,341.3200,886.7200,0.000054
FILLER_0_321_727,VGND,li1,340.1700,886.7200,0.000051
FILLER_0_321_722,VGND,li1,338.1000,886.7200,0.000048
FILLER_0_321_693,VGND,li1,324.5300,886.7200,0.000052
FILLER_0_321_673,VGND,li1,315.5600,886.7200,0.000070
FILLER_0_321_670,VGND,li1,314.1800,886.7200,0.000070
FILLER_0_321_658,VGND,li1,308.8900,886.7200,0.000078
FILLER_0_321_650,VGND,li1,305.4400,886.7200,0.000080
FILLER_0_321_645,VGND,li1,302.6800,886.7200,0.000083
FILLER_0_321_643,VGND,li1,301.5300,886.7200,0.000085
FILLER_0_321_636,VGND,li1,299.0000,886.7200,0.000088
FILLER_0_321_629,VGND,li1,295.7800,886.7200,0.000090
FILLER_0_321_622,VGND,li1,292.5600,886.7200,0.000093
FILLER_0_321_617,VGND,li1,289.8000,886.7200,0.000095
FILLER_0_321_615,VGND,li1,288.6500,886.7200,0.000095
FILLER_0_321_608,VGND,li1,286.1200,886.7200,0.000097
FILLER_0_321_589,VGND,li1,276.9200,886.7200,0.000103
FILLER_0_321_587,VGND,li1,275.7700,886.7200,0.000103
FILLER_0_321_581,VGND,li1,273.4700,886.7200,0.000104
FILLER_0_321_575,VGND,li1,270.4800,886.7200,0.000105
FILLER_0_321_550,VGND,li1,258.7500,886.7200,0.000104
FILLER_0_321_533,VGND,li1,250.9300,886.7200,0.000100
FILLER_0_321_522,VGND,li1,246.1000,886.7200,0.000097
FILLER_0_321_505,VGND,li1,238.0500,886.7200,0.000091
FILLER_0_321_477,VGND,li1,225.4000,886.7200,0.000080
FILLER_0_321_467,VGND,li1,220.5700,886.7200,0.000076
FILLER_0_321_449,VGND,li1,212.5200,886.7200,0.000066
FILLER_0_321_431,VGND,li1,204.0100,886.7200,0.000057
FILLER_0_321_421,VGND,li1,199.6400,886.7200,0.000051
FILLER_0_321_393,VGND,li1,186.5300,886.7200,0.000033
FILLER_0_321_383,VGND,li1,181.9300,886.7200,0.000027
FILLER_0_321_365,VGND,li1,173.8800,886.7200,0.000027
FILLER_0_321_355,VGND,li1,169.0500,886.7200,0.000030
FILLER_0_321_337,VGND,li1,161.0000,886.7200,0.000036
FILLER_0_321_327,VGND,li1,156.1700,886.7200,0.000038
FILLER_0_321_309,VGND,li1,148.1200,886.7200,0.000043
FILLER_0_321_299,VGND,li1,143.2900,886.7200,0.000044
FILLER_0_321_281,VGND,li1,135.2400,886.7200,0.000048
FILLER_0_321_278,VGND,li1,133.8600,886.7200,0.000048
FILLER_0_321_253,VGND,li1,122.1300,886.7200,0.000051
FILLER_0_321_243,VGND,li1,117.5300,886.7200,0.000052
FILLER_0_321_225,VGND,li1,109.4800,886.7200,0.000053
FILLER_0_321_215,VGND,li1,104.6500,886.7200,0.000053
FILLER_0_321_197,VGND,li1,96.6000,886.7200,0.000053
FILLER_0_321_183,VGND,li1,90.1600,886.7200,0.000052
FILLER_0_321_169,VGND,li1,83.7200,886.7200,0.000051
FILLER_0_321_39,VGND,li1,23.6900,886.7200,0.000012
FILLER_0_321_29,VGND,li1,19.3200,886.7200,0.000013
FILLER_0_321_11,VGND,li1,10.8100,886.7200,0.000013
FILLER_0_320_1920,VGND,li1,890.1000,881.2800,0.000336
FILLER_0_320_1908,VGND,li1,885.9600,881.2800,0.000336
FILLER_0_320_1877,VGND,li1,869.1700,881.2800,0.000334
FILLER_0_320_1874,VGND,li1,868.0200,881.2800,0.000333
FILLER_0_320_1866,VGND,li1,865.7200,881.2800,0.000332
FILLER_0_320_1852,VGND,li1,857.9000,881.2800,0.000329
FILLER_0_320_1845,VGND,li1,854.4500,881.2800,0.000327
FILLER_0_320_1831,VGND,li1,848.2400,881.2800,0.000313
FILLER_0_320_1816,VGND,li1,841.1100,881.2800,0.000292
FILLER_0_320_1812,VGND,li1,839.9600,881.2800,0.000292
FILLER_0_320_1805,VGND,li1,836.2800,881.2800,0.000274
FILLER_0_320_1786,VGND,li1,827.3100,881.2800,0.000235
FILLER_0_320_1780,VGND,li1,825.7000,881.2800,0.000235
FILLER_0_320_1768,VGND,li1,821.5600,881.2800,0.000212
FILLER_0_320_1763,VGND,li1,816.7300,881.2800,0.000195
FILLER_0_320_1759,VGND,li1,815.5800,881.2800,0.000186
FILLER_0_320_1720,VGND,li1,796.9500,881.2800,0.000094
FILLER_0_320_1714,VGND,li1,794.1900,881.2800,0.000081
FILLER_0_320_1701,VGND,li1,788.6700,881.2800,0.000093
FILLER_0_320_1693,VGND,li1,786.1400,881.2800,0.000099
FILLER_0_320_1676,VGND,li1,776.9400,881.2800,0.000119
FILLER_0_320_1669,VGND,li1,774.1800,881.2800,0.000124
FILLER_0_320_1658,VGND,li1,768.4300,881.2800,0.000135
FILLER_0_320_1651,VGND,li1,765.2100,881.2800,0.000141
FILLER_0_320_1645,VGND,li1,762.4500,881.2800,0.000145
FILLER_0_320_1639,VGND,li1,760.8400,881.2800,0.000145
FILLER_0_320_1629,VGND,li1,755.3200,881.2800,0.000153
FILLER_0_320_1586,VGND,li1,735.5400,881.2800,0.000175
FILLER_0_320_1581,VGND,li1,733.0100,881.2800,0.000177
FILLER_0_320_1541,VGND,li1,715.0700,881.2800,0.000185
FILLER_0_320_1537,VGND,li1,713.2300,881.2800,0.000186
FILLER_0_320_1532,VGND,li1,710.4700,881.2800,0.000186
FILLER_0_320_1506,VGND,li1,698.5100,881.2800,0.000185
FILLER_0_320_1482,VGND,li1,687.7000,881.2800,0.000181
FILLER_0_320_1460,VGND,li1,677.8100,881.2800,0.000161
FILLER_0_320_1448,VGND,li1,674.3600,881.2800,0.000155
FILLER_0_320_1437,VGND,li1,667.2300,881.2800,0.000133
FILLER_0_320_1429,VGND,li1,664.7000,881.2800,0.000124
FILLER_0_320_1427,VGND,li1,662.1700,881.2800,0.000109
FILLER_0_320_1421,VGND,li1,660.5600,881.2800,0.000109
FILLER_0_320_1409,VGND,li1,656.4200,881.2800,0.000094
FILLER_0_320_1397,VGND,li1,650.9000,881.2800,0.000070
FILLER_0_320_1385,VGND,li1,645.3800,881.2800,0.000055
FILLER_0_320_1373,VGND,li1,639.8600,881.2800,0.000034
FILLER_0_320_1371,VGND,li1,636.4100,881.2800,0.000033
FILLER_0_320_1365,VGND,li1,634.8000,881.2800,0.000033
FILLER_0_320_1353,VGND,li1,630.6600,881.2800,0.000032
FILLER_0_320_1349,VGND,li1,626.2900,881.2800,0.000031
FILLER_0_320_1345,VGND,li1,624.4500,881.2800,0.000031
FILLER_0_320_1339,VGND,li1,622.8400,881.2800,0.000031
FILLER_0_320_1327,VGND,li1,618.7000,881.2800,0.000030
FILLER_0_320_1323,VGND,li1,614.3300,881.2800,0.000029
FILLER_0_320_1317,VGND,li1,612.7200,881.2800,0.000029
FILLER_0_320_1315,VGND,li1,610.6500,881.2800,0.000028
FILLER_0_320_1309,VGND,li1,609.0400,881.2800,0.000028
FILLER_0_320_1297,VGND,li1,604.9000,881.2800,0.000027
FILLER_0_320_1285,VGND,li1,599.3800,881.2800,0.000026
FILLER_0_320_1273,VGND,li1,593.8600,881.2800,0.000025
FILLER_0_320_1261,VGND,li1,588.3400,881.2800,0.000024
FILLER_0_320_1248,VGND,li1,582.3600,881.2800,0.000023
FILLER_0_320_1242,VGND,li1,577.5300,881.2800,0.000022
FILLER_0_320_1234,VGND,li1,575.0000,881.2800,0.000022
FILLER_0_320_1222,VGND,li1,570.4000,881.2800,0.000021
FILLER_0_320_1210,VGND,li1,564.8800,881.2800,0.000020
FILLER_0_320_1205,VGND,li1,560.2800,881.2800,0.000019
FILLER_0_320_1202,VGND,li1,558.9000,881.2800,0.000018
FILLER_0_320_1175,VGND,li1,546.4800,881.2800,0.000016
FILLER_0_320_1167,VGND,li1,544.1800,881.2800,0.000016
FILLER_0_320_1155,VGND,li1,539.5800,881.2800,0.000015
FILLER_0_320_1144,VGND,li1,532.6800,881.2800,0.000014
FILLER_0_320_1077,VGND,li1,501.4000,881.2800,0.000008
FILLER_0_320_1049,VGND,li1,489.4400,881.2800,0.000006
FILLER_0_320_1037,VGND,li1,485.3000,881.2800,0.000005
FILLER_0_320_1033,VGND,li1,481.3900,881.2800,0.000006
FILLER_0_320_1021,VGND,li1,477.9400,881.2800,0.000007
FILLER_0_320_995,VGND,li1,463.6800,881.2800,0.000011
FILLER_0_320_987,VGND,li1,461.3800,881.2800,0.000011
FILLER_0_320_966,VGND,li1,450.1100,881.2800,0.000011
FILLER_0_320_960,VGND,li1,448.5000,881.2800,0.000011
FILLER_0_320_952,VGND,li1,443.9000,881.2800,0.000011
FILLER_0_320_925,VGND,li1,431.2500,881.2800,0.000011
FILLER_0_320_916,VGND,li1,428.7200,881.2800,0.000011
FILLER_0_320_894,VGND,li1,417.4500,881.2800,0.000011
FILLER_0_320_881,VGND,li1,412.1600,881.2800,0.000011
FILLER_0_320_869,VGND,li1,408.0200,881.2800,0.000011
FILLER_0_320_866,VGND,li1,404.3400,881.2800,0.000011
FILLER_0_320_839,VGND,li1,391.6900,881.2800,0.000011
FILLER_0_320_825,VGND,li1,385.2500,881.2800,0.000011
FILLER_0_320_819,VGND,li1,383.6400,881.2800,0.000011
FILLER_0_320_778,VGND,li1,363.8600,881.2800,0.000011
FILLER_0_320_757,VGND,li1,354.2000,881.2800,0.000011
FILLER_0_320_755,VGND,li1,353.0500,881.2800,0.000011
FILLER_0_320_726,VGND,li1,340.4000,881.2800,0.000011
FILLER_0_320_699,VGND,li1,327.2900,881.2800,0.000017
FILLER_0_320_671,VGND,li1,316.9400,881.2800,0.000028
FILLER_0_320_665,VGND,li1,312.1100,881.2800,0.000033
FILLER_0_320_657,VGND,li1,309.5800,881.2800,0.000037
FILLER_0_320_645,VGND,li1,304.9800,881.2800,0.000041
FILLER_0_320_617,VGND,li1,289.5700,881.2800,0.000058
FILLER_0_320_613,VGND,li1,288.4200,881.2800,0.000060
FILLER_0_320_601,VGND,li1,284.7400,881.2800,0.000063
FILLER_0_320_589,VGND,li1,279.2200,881.2800,0.000069
FILLER_0_320_587,VGND,li1,275.7700,881.2800,0.000072
FILLER_0_320_575,VGND,li1,272.7800,881.2800,0.000077
FILLER_0_320_563,VGND,li1,267.2600,881.2800,0.000083
FILLER_0_320_551,VGND,li1,261.7400,881.2800,0.000088
FILLER_0_320_538,VGND,li1,253.9200,881.2800,0.000097
FILLER_0_320_533,VGND,li1,251.1600,881.2800,0.000099
FILLER_0_320_530,VGND,li1,249.7800,881.2800,0.000099
FILLER_0_320_520,VGND,li1,245.1800,881.2800,0.000103
FILLER_0_320_513,VGND,li1,241.7300,881.2800,0.000106
FILLER_0_320_505,VGND,li1,238.2800,881.2800,0.000107
FILLER_0_320_477,VGND,li1,225.1700,881.2800,0.000112
FILLER_0_320_474,VGND,li1,224.0200,881.2800,0.000112
FILLER_0_320_461,VGND,li1,218.0400,881.2800,0.000113
FILLER_0_320_454,VGND,li1,215.2800,881.2800,0.000113
FILLER_0_320_447,VGND,li1,212.0600,881.2800,0.000113
FILLER_0_320_442,VGND,li1,209.3000,881.2800,0.000113
FILLER_0_320_421,VGND,li1,199.6400,881.2800,0.000112
FILLER_0_320_418,VGND,li1,198.2600,881.2800,0.000111
FILLER_0_320_408,VGND,li1,193.6600,881.2800,0.000110
FILLER_0_320_398,VGND,li1,189.5200,881.2800,0.000108
FILLER_0_320_394,VGND,li1,186.9900,881.2800,0.000106
FILLER_0_320_377,VGND,li1,179.4000,881.2800,0.000101
FILLER_0_320_370,VGND,li1,176.6400,881.2800,0.000130
FILLER_0_320_365,VGND,li1,173.8800,881.2800,0.000153
FILLER_0_320_362,VGND,li1,172.5000,881.2800,0.000153
FILLER_0_320_349,VGND,li1,166.5200,881.2800,0.000218
FILLER_0_320_342,VGND,li1,163.7600,881.2800,0.000247
FILLER_0_320_337,VGND,li1,161.0000,881.2800,0.000272
FILLER_0_320_321,VGND,li1,153.6400,881.2800,0.000332
FILLER_0_320_306,VGND,li1,146.7400,881.2800,0.000376
FILLER_0_320_285,VGND,li1,136.8500,881.2800,0.000441
FILLER_0_320_250,VGND,li1,120.9800,881.2800,0.000515
FILLER_0_320_222,VGND,li1,108.1000,881.2800,0.000546
FILLER_0_320_212,VGND,li1,103.5000,881.2800,0.000551
FILLER_0_320_194,VGND,li1,95.2200,881.2800,0.000549
FILLER_0_320_178,VGND,li1,87.8600,881.2800,0.000541
FILLER_0_320_106,VGND,li1,54.7400,881.2800,0.000390
FILLER_0_320_95,VGND,li1,49.6800,881.2800,0.000351
FILLER_0_320_85,VGND,li1,45.0800,881.2800,0.000313
FILLER_0_320_82,VGND,li1,43.7000,881.2800,0.000297
FILLER_0_320_55,VGND,li1,31.0500,881.2800,0.000165
FILLER_0_320_50,VGND,li1,28.9800,881.2800,0.000139
FILLER_0_320_34,VGND,li1,21.3900,881.2800,0.000112
FILLER_0_320_29,VGND,li1,19.3200,881.2800,0.000112
FILLER_0_320_26,VGND,li1,17.9400,881.2800,0.000113
FILLER_0_319_1917,VGND,li1,890.1000,881.2800,0.000336
FILLER_0_319_1905,VGND,li1,884.5800,881.2800,0.000336
FILLER_0_319_1900,VGND,li1,880.4400,881.2800,0.000336
FILLER_0_319_1882,VGND,li1,872.6200,881.2800,0.000335
FILLER_0_319_1865,VGND,li1,863.6500,881.2800,0.000331
FILLER_0_319_1852,VGND,li1,858.3600,881.2800,0.000329
FILLER_0_319_1821,VGND,li1,843.6400,881.2800,0.000299
FILLER_0_319_1793,VGND,li1,831.2200,881.2800,0.000256
FILLER_0_319_1789,VGND,li1,829.1500,881.2800,0.000247
FILLER_0_319_1777,VGND,li1,825.7000,881.2800,0.000235
FILLER_0_319_1765,VGND,li1,820.1800,881.2800,0.000212
FILLER_0_319_1729,VGND,li1,801.0900,881.2800,0.000117
FILLER_0_319_1725,VGND,li1,799.9400,881.2800,0.000117
FILLER_0_319_1713,VGND,li1,796.2600,881.2800,0.000094
FILLER_0_319_1701,VGND,li1,788.6700,881.2800,0.000093
FILLER_0_319_1679,VGND,li1,778.0900,881.2800,0.000119
FILLER_0_319_1667,VGND,li1,774.1800,881.2800,0.000124
FILLER_0_319_1655,VGND,li1,767.5100,881.2800,0.000135
FILLER_0_319_1648,VGND,li1,764.2900,881.2800,0.000141
FILLER_0_319_1640,VGND,li1,761.7600,881.2800,0.000145
FILLER_0_319_1625,VGND,li1,754.4000,881.2800,0.000156
FILLER_0_319_1623,VGND,li1,752.3300,881.2800,0.000159
FILLER_0_319_1619,VGND,li1,751.1800,881.2800,0.000159
FILLER_0_319_1609,VGND,li1,745.8900,881.2800,0.000164
FILLER_0_319_1603,VGND,li1,744.2800,881.2800,0.000167
FILLER_0_319_1595,VGND,li1,740.1400,881.2800,0.000171
FILLER_0_319_1582,VGND,li1,734.1600,881.2800,0.000175
FILLER_0_319_1569,VGND,li1,728.1800,881.2800,0.000180
FILLER_0_319_1567,VGND,li1,726.5700,881.2800,0.000181
FILLER_0_319_1550,VGND,li1,720.3600,881.2800,0.000184
FILLER_0_319_1543,VGND,li1,715.9900,881.2800,0.000185
FILLER_0_319_1529,VGND,li1,709.0900,881.2800,0.000186
FILLER_0_319_1517,VGND,li1,705.1800,881.2800,0.000186
FILLER_0_319_1494,VGND,li1,693.2200,881.2800,0.000183
FILLER_0_319_1489,VGND,li1,690.6900,881.2800,0.000182
FILLER_0_319_1485,VGND,li1,689.5400,881.2800,0.000182
FILLER_0_319_1460,VGND,li1,677.5800,881.2800,0.000161
FILLER_0_319_1425,VGND,li1,662.8600,881.2800,0.000116
FILLER_0_319_1413,VGND,li1,658.2600,881.2800,0.000101
FILLER_0_319_1401,VGND,li1,652.7400,881.2800,0.000081
FILLER_0_319_1399,VGND,li1,649.2900,881.2800,0.000063
FILLER_0_319_1393,VGND,li1,647.6800,881.2800,0.000063
FILLER_0_319_1381,VGND,li1,643.5400,881.2800,0.000048
FILLER_0_319_1369,VGND,li1,638.0200,881.2800,0.000033
FILLER_0_319_1357,VGND,li1,632.5000,881.2800,0.000033
FILLER_0_319_1345,VGND,li1,626.9800,881.2800,0.000031
FILLER_0_319_1343,VGND,li1,623.5300,881.2800,0.000031
FILLER_0_319_1337,VGND,li1,621.9200,881.2800,0.000031
FILLER_0_319_1325,VGND,li1,617.7800,881.2800,0.000030
FILLER_0_319_1313,VGND,li1,612.2600,881.2800,0.000029
FILLER_0_319_1301,VGND,li1,606.7400,881.2800,0.000028
FILLER_0_319_1289,VGND,li1,601.2200,881.2800,0.000027
FILLER_0_319_1287,VGND,li1,597.7700,881.2800,0.000026
FILLER_0_319_1281,VGND,li1,596.1600,881.2800,0.000026
FILLER_0_319_1269,VGND,li1,592.0200,881.2800,0.000025
FILLER_0_319_1257,VGND,li1,586.5000,881.2800,0.000024
FILLER_0_319_1245,VGND,li1,580.9800,881.2800,0.000023
FILLER_0_319_1233,VGND,li1,575.4600,881.2800,0.000022
FILLER_0_319_1231,VGND,li1,572.0100,881.2800,0.000021
FILLER_0_319_1223,VGND,li1,569.9400,881.2800,0.000021
FILLER_0_319_1211,VGND,li1,565.3400,881.2800,0.000020
FILLER_0_319_1175,VGND,li1,546.2500,881.2800,0.000016
FILLER_0_319_1171,VGND,li1,545.1000,881.2800,0.000016
FILLER_0_319_1159,VGND,li1,541.4200,881.2800,0.000015
FILLER_0_319_1147,VGND,li1,535.9000,881.2800,0.000014
FILLER_0_319_1107,VGND,li1,514.9700,881.2800,0.000010
FILLER_0_319_1101,VGND,li1,513.3600,881.2800,0.000010
FILLER_0_319_1094,VGND,li1,508.9900,881.2800,0.000009
FILLER_0_319_1090,VGND,li1,507.8400,881.2800,0.000009
FILLER_0_319_1065,VGND,li1,497.2600,881.2800,0.000007
FILLER_0_319_1063,VGND,li1,494.7300,881.2800,0.000006
FILLER_0_319_1057,VGND,li1,493.1200,881.2800,0.000006
FILLER_0_319_1045,VGND,li1,488.9800,881.2800,0.000006
FILLER_0_319_1033,VGND,li1,483.4600,881.2800,0.000005
FILLER_0_319_1021,VGND,li1,477.9400,881.2800,0.000007
FILLER_0_319_1009,VGND,li1,472.4200,881.2800,0.000009
FILLER_0_319_1000,VGND,li1,465.9800,881.2800,0.000011
FILLER_0_319_988,VGND,li1,462.7600,881.2800,0.000011
FILLER_0_319_976,VGND,li1,457.2400,881.2800,0.000011
FILLER_0_319_965,VGND,li1,451.2600,881.2800,0.000011
FILLER_0_319_953,VGND,li1,446.6600,881.2800,0.000011
FILLER_0_319_948,VGND,li1,442.5200,881.2800,0.000011
FILLER_0_319_941,VGND,li1,438.6100,881.2800,0.000011
FILLER_0_319_937,VGND,li1,437.4600,881.2800,0.000011
FILLER_0_319_924,VGND,li1,431.4800,881.2800,0.000011
FILLER_0_319_912,VGND,li1,427.8000,881.2800,0.000011
FILLER_0_319_897,VGND,li1,418.6000,881.2800,0.000011
